customer_id,customer_name,age,age_group,gender,city,state,customer_type,registration_date,email,phone,is_active,total_lifetime_value
33,Rachita Thakkar,24,18-25,Male,Hyderabad,Telangana,VIP,2025-08-02,khannaojas@example.org,+91-8115728444,True,265268.24
34,Krisha Date,26,26-35,Male,Mumbai,Maharashtra,Regular,2024-11-11,bhavyabedi@example.org,+91-8207619322,True,28831.27
35,Nachiket Lala,49,46-60,Male,Chennai,Tamil Nadu,Regular,2024-03-04,pallavikrishnamurthy@example.net,Phone Not Available,True,41043.04
36,Benjamin Pau,60,46-60,Female,Delhi,Delhi,New,2025-03-10,skannan@example.net,+91-7699150704,True,58996.29
37,Veer Wason,52,46-60,Male,Chennai,Tamil Nadu,VIP,2025-06-11,yashawinibobal@example.org,+91-7726325481,True,13710.63
38,Deepa Seshadri,68,60+,Female,Patna,Bihar,Regular,2024-03-29,kevin27@example.net,+91-8716794004,True,19960.15
39,Utkarsh Bahl,31,26-35,Male,Mumbai,Maharashtra,New,2025-06-24,ishitasalvi@example.com,+91-8188858130,True,422009.87
40,Jyoti Sodhi,67,60+,Female,Pune,Maharashtra,VIP,2025-06-15,qshukla@example.com,+91-8132500450,True,13118.49
41,Mason Chacko,46,46-60,Male,Chennai,Tamil Nadu,New,2025-08-07,davidbhatia@example.com,+91-9459473086,True,17402.54
42,Ronith Arora,29,26-35,Female,Kolkata,West Bengal,VIP,2025-09-18,mohinilad@example.net,+91-8014778334,True,275283.37
43,Patrick Chana,52,46-60,Female,Chennai,Tamil Nadu,Churned,2025-05-21,mtella@example.net,+91-7559450469,False,0.0
44,Falan Kale,31,26-35,Female,Hyderabad,Telangana,Churned,2025-09-30,email_not_provided@unknown.com,+91-8614104297,False,0.0
45,Gaurangi Krishnamurthy,73,60+,Female,Patna,Bihar,Regular,2025-12-19,email_not_provided@unknown.com,+91-8781031470,True,2341.92
46,Suhani Sundaram,65,60+,Female,Hyderabad,Telangana,Regular,2024-05-30,sodhikalpit@example.com,+91-7298986861,True,4985.53
47,Varenya Arora,61,60+,Female,Patna,Bihar,Churned,2025-05-21,narainorinder@example.com,+91-9137215944,False,0.0
48,Lavanya Karpe,56,46-60,Male,Delhi,Delhi,New,2025-10-22,ekansh42@example.com,+91-7054292731,True,78680.61
49,Udyati Nayar,56,46-60,Male,Bangalore,Karnataka,Regular,2025-10-01,revatalwar@example.org,+91-9976655948,True,49722.91
50,Aashi Bumb,38,36-45,Female,Kolkata,West Bengal,New,2025-09-10,iramesh@example.com,+91-7795999224,True,29551.06
51,Aadhya Karan,42,36-45,Female,Chennai,Tamil Nadu,New,2025-12-22,gjayaraman@example.com,+91-7675055225,True,190539.83
52,Mohammed Dua,31,26-35,Male,Chennai,Tamil Nadu,Regular,2024-05-17,elijah02@example.org,+91-7302023935,True,136130.04
53,Joshua Salvi,24,18-25,Female,Kolkata,West Bengal,Regular,2024-07-15,vanyalall@example.org,+91-7270507200,True,199950.4
54,Jackson Mangat,48,46-60,Male,Patna,Bihar,Regular,2026-01-08,anvi94@example.org,+91-9455766438,True,31169.82
55,Bimala Pradhan,34,26-35,Female,Bangalore,Karnataka,Regular,2025-10-13,hbalan@example.org,+91-8684244841,True,299838.59
56,Utkarsh Kapoor,42,36-45,Male,Patna,Bihar,New,2024-10-09,bakhshi71@example.net,+91-9938560053,True,385681.97
57,Hemani Hans,47,46-60,Female,Hyderabad,Telangana,Churned,2024-04-10,email_not_provided@unknown.com,+91-7038906106,False,0.0
58,Udyati Sharaf,71,60+,Female,Bangalore,Karnataka,Churned,2025-07-29,panini72@example.org,+91-7018868533,False,0.0
59,Ranveer Rege,74,60+,Female,Mumbai,Maharashtra,Regular,2024-03-21,auroragirik@example.org,+91-9187929654,True,22027.67
60,Avni Sarin,41,36-45,Female,Chennai,Tamil Nadu,Regular,2025-07-14,warjaskapoor@example.org,+91-8415150462,True,247374.6
61,Reva Narasimhan,43,36-45,Female,Bangalore,Karnataka,New,2024-09-16,gautami43@example.net,+91-9590141242,True,173910.18
62,Leena Bumb,26,26-35,Male,Delhi,Delhi,New,2024-11-14,veerdatta@example.net,+91-9269719823,True,497744.31
63,Lakshmi Bahri,25,18-25,Male,Kolkata,West Bengal,VIP,2025-07-27,gauri04@example.net,+91-8966182517,True,192805.93
64,Nitara Palla,63,60+,Female,Mumbai,Maharashtra,VIP,2025-08-24,sabharwalinaya@example.com,+91-7100738734,True,17683.0
65,Inaya Deol,32,26-35,Female,Pune,Maharashtra,Regular,2025-06-19,nilimasawhney@example.org,+91-8301880216,True,249511.01
66,Jalsa Sagar,74,60+,Female,Pune,Maharashtra,Regular,2025-02-07,fchaudry@example.com,Phone Not Available,True,58107.72
67,Sanya Rattan,46,46-60,Male,Bangalore,Karnataka,Regular,2024-08-13,bhattiaarav@example.com,+91-9580379180,True,9237.44
68,Ojas Dhawan,61,60+,Male,Kolkata,West Bengal,Regular,2025-06-03,deolayushman@example.org,+91-9787861160,True,22658.21
69,Anay Chaudhuri,18,18-25,Female,Hyderabad,Telangana,New,2024-08-20,kashvibuch@example.com,+91-9948489752,True,369552.6
70,Lakshit Joshi,20,18-25,Female,Kolkata,West Bengal,New,2024-09-16,vasana51@example.com,+91-8222017680,True,216768.49
71,Chandani Sodhi,54,46-60,Female,Delhi,Delhi,VIP,2025-05-19,jraju@example.org,+91-8734858400,True,105384.4
72,Jyoti Agate,36,36-45,Male,Bangalore,Karnataka,Regular,2024-11-03,mason29@example.com,+91-9996607324,True,340154.99
73,Samuel Bahri,22,18-25,Female,Mumbai,Maharashtra,Regular,2024-08-06,dgolla@example.com,+91-8894335762,True,623948.67
74,Balvan Wason,31,26-35,Female,Mumbai,Maharashtra,New,2025-11-20,sandhuaahana@example.com,+91-7754789284,True,71782.69
75,Max Panchal,61,60+,Male,Hyderabad,Telangana,New,2025-10-26,ckade@example.com,+91-7310716214,True,82216.56
76,Radha Dutta,61,60+,Female,Kolkata,West Bengal,VIP,2024-10-09,ubhatia@example.net,+91-9365131768,True,71215.55
77,Jyoti Doctor,30,26-35,Female,Patna,Bihar,VIP,2024-04-27,yuvraj51@example.net,+91-8430029453,True,592555.79
78,Udyati Srivastava,36,36-45,Female,Delhi,Delhi,Regular,2025-08-29,dalajakadakia@example.org,+91-7397417156,True,171334.23
79,Jason Kala,59,46-60,Female,Mumbai,Maharashtra,Regular,2024-06-08,walifaraj@example.net,+91-8586728908,True,59194.29
80,Hemal Master,30,26-35,Female,Bangalore,Karnataka,New,2024-07-31,abhirammani@example.com,+91-9687922864,True,805229.95
81,Chandresh Sachdeva,62,60+,Male,Kolkata,West Bengal,Regular,2026-02-04,yben@example.net,+91-7112236868,True,40563.42
82,Ayush Oommen,20,18-25,Male,Mumbai,Maharashtra,New,2025-12-29,karpecharita@example.com,+91-8043037850,True,531324.17
83,Aahana Borah,29,26-35,Female,Chennai,Tamil Nadu,VIP,2025-01-31,usavant@example.net,+91-9270477137,True,406454.87
84,Dhriti Devi,57,46-60,Female,Hyderabad,Telangana,New,2025-10-05,sunderkritika@example.com,+91-9348029880,True,21423.23
85,Lila Sankar,18,18-25,Female,Pune,Maharashtra,New,2025-05-06,qgade@example.com,+91-7377427679,True,163304.95
86,Rehaan Zachariah,72,60+,Male,Kolkata,West Bengal,Regular,2025-06-05,ykapur@example.com,+91-8111223025,True,70093.21
87,Ryan Gandhi,37,36-45,Female,Bangalore,Karnataka,New,2024-09-28,chamangola@example.net,+91-8100827327,True,4884.21
88,Jackson Chand,18,18-25,Female,Kolkata,West Bengal,Regular,2024-07-21,max70@example.net,+91-9318353082,True,356338.44
89,Saksham Shanker,20,18-25,Male,Patna,Bihar,New,2025-04-21,vasatikaratta@example.com,+91-8273068014,True,15066.61
90,Maya Sarin,33,26-35,Female,Chennai,Tamil Nadu,Regular,2024-11-05,dparikh@example.com,+91-7711532759,True,548208.53
91,Nikita Varma,74,60+,Female,Hyderabad,Telangana,Regular,2025-11-14,kiaan08@example.org,+91-9980226283,True,10828.56
92,Raghav Dubey,22,18-25,Female,Mumbai,Maharashtra,VIP,2025-08-03,harichampak@example.com,+91-7263263223,True,662648.41
93,Amara Palla,42,36-45,Male,Mumbai,Maharashtra,Regular,2025-02-20,rachana85@example.com,+91-7631622219,True,163994.15
94,Lakshit Saxena,58,46-60,Female,Patna,Bihar,Regular,2024-12-16,email_not_provided@unknown.com,+91-9628960583,True,34962.27
95,Tanmayi Chada,64,60+,Female,Mumbai,Maharashtra,Regular,2024-04-21,nbuch@example.net,+91-7934261981,True,6720.0
96,Divya Sharaf,35,26-35,Male,Kolkata,West Bengal,Regular,2024-06-06,pushtisachdev@example.com,+91-8813896542,True,118801.19
97,Jasmit Mane,42,36-45,Female,Patna,Bihar,Regular,2025-12-08,victordhingra@example.com,+91-9374647859,True,717184.75
98,Nikita Sidhu,72,60+,Male,Pune,Maharashtra,Regular,2024-08-17,purohitranbir@example.net,+91-9997014478,True,54804.18
99,Priya Sawhney,75,60+,Male,Delhi,Delhi,Regular,2024-05-29,pkadakia@example.net,+91-9668373882,True,53735.45
100,Eshana Bhatti,54,46-60,Male,Mumbai,Maharashtra,Regular,2025-07-29,snehamutti@example.com,+91-9309034187,True,3117.93
101,Nirja Padmanabhan,62,60+,Female,Pune,Maharashtra,Regular,2024-02-21,chaudrygirik@example.org,+91-8035430208,True,46496.25
102,Unnati Dada,31,26-35,Male,Mumbai,Maharashtra,Regular,2024-11-25,sahnicharvi@example.com,+91-7118273816,True,21401.89
103,Ekanta Keer,27,26-35,Female,Chennai,Tamil Nadu,Churned,2025-02-13,janimax@example.com,+91-8998302354,False,0.0
104,Shravya Kapoor,30,26-35,Female,Hyderabad,Telangana,New,2025-03-06,ggupta@example.org,+91-7147847344,True,98624.78
105,Siddharth Karan,69,60+,Female,Mumbai,Maharashtra,Churned,2025-10-22,fradokeer@example.com,+91-7648590401,False,0.0
106,Manya Jha,60,46-60,Male,Patna,Bihar,New,2025-03-03,kapoorgabriel@example.com,+91-8474454108,True,48161.55
107,Ayaan Acharya,29,26-35,Male,Kolkata,West Bengal,VIP,2025-02-10,kalitaaradhana@example.com,+91-7983431282,True,241566.5
108,Eiravati Bali,74,60+,Female,Hyderabad,Telangana,Regular,2025-05-18,dakshesh57@example.com,+91-9722929016,True,8159.15
109,Sathvik Oza,28,26-35,Female,Pune,Maharashtra,Regular,2025-12-28,vaishnavibahl@example.org,+91-7944968418,True,301404.37
110,Ranbir Dayal,70,60+,Male,Patna,Bihar,Regular,2024-10-21,bhavnaatwal@example.net,+91-7352551453,True,63646.93
111,Yoshita Iyer,58,46-60,Male,Delhi,Delhi,Regular,2026-02-10,janiviraj@example.net,+91-7337225583,True,1525.17
112,Veer Padmanabhan,54,46-60,Male,Chennai,Tamil Nadu,New,2025-05-15,email_not_provided@unknown.com,+91-9559252231,True,87131.27
113,Qadim Parmar,45,36-45,Female,Delhi,Delhi,New,2025-10-04,zranganathan@example.net,+91-8092064163,True,971793.35
114,Elijah Manne,66,60+,Female,Delhi,Delhi,Regular,2025-05-13,varkeyisha@example.com,+91-7120236090,True,25510.35
115,Yadavi Talwar,66,60+,Female,Hyderabad,Telangana,Regular,2025-07-28,chandresh77@example.com,+91-7207280713,True,5235.11
116,Elijah Narasimhan,38,36-45,Female,Pune,Maharashtra,Regular,2025-01-18,finn13@example.com,+91-8982772594,True,115408.77
117,Jonathan Patel,48,46-60,Male,Hyderabad,Telangana,Churned,2025-08-07,gseshadri@example.org,+91-9946127096,False,0.0
118,Vinaya Ray,21,18-25,Female,Bangalore,Karnataka,Regular,2025-02-27,sai09@example.net,+91-7211517216,True,345779.32
119,Karan Mukherjee,67,60+,Male,Kolkata,West Bengal,Regular,2025-10-30,dewanlekha@example.com,+91-7837587903,True,37229.11
120,Chameli Prabhakar,50,46-60,Male,Mumbai,Maharashtra,New,2025-11-23,hmohanty@example.org,+91-7727837912,True,174484.22
121,Charles Nori,75,60+,Female,Chennai,Tamil Nadu,VIP,2026-01-16,chanakyamistry@example.org,+91-9656241466,True,52477.84
122,Qasim Raman,52,46-60,Male,Bangalore,Karnataka,Regular,2025-11-26,kotaomkaar@example.com,+91-7184508072,True,35277.83
123,Nicholas Sarraf,60,46-60,Male,Patna,Bihar,New,2024-09-18,sharafjeet@example.com,+91-7940784136,True,43063.43
124,Gopal Murty,69,60+,Female,Pune,Maharashtra,Regular,2025-08-15,hamsinisandhu@example.org,+91-8796010257,True,14814.83
125,Gaurang Din,30,26-35,Male,Bangalore,Karnataka,Regular,2025-10-31,falguni91@example.net,+91-9476515267,True,310170.24
126,Chaitaly Dyal,71,60+,Female,Patna,Bihar,VIP,2025-04-18,rattananika@example.com,+91-9922333084,True,27190.13
127,Faraj Borah,67,60+,Female,Mumbai,Maharashtra,New,2026-01-25,fariq69@example.org,+91-8254133908,True,13082.52
128,Upadhriti Dugal,68,60+,Female,Hyderabad,Telangana,Regular,2025-06-19,ypalla@example.com,+91-9038496348,True,0.0
129,Charan Kaul,19,18-25,Female,Chennai,Tamil Nadu,New,2025-08-15,karpebanjeet@example.com,+91-9429047816,True,446603.45
130,Utkarsh Atwal,44,36-45,Male,Patna,Bihar,Regular,2024-11-30,naiduabhiram@example.org,+91-9813256847,True,109168.53
131,Nathaniel Dani,27,26-35,Male,Chennai,Tamil Nadu,New,2025-04-03,dubeynimrat@example.net,+91-8768087631,True,544823.88
132,Vedika Sampath,35,26-35,Female,Kolkata,West Bengal,Regular,2025-07-15,samaksh77@example.net,+91-9228378168,True,186581.09
133,Aditya Srinivasan,57,46-60,Female,Hyderabad,Telangana,Regular,2024-09-03,upkaar27@example.org,+91-8271782088,True,47234.35
134,Warhi Deol,58,46-60,Male,Chennai,Tamil Nadu,Regular,2024-02-29,auroradamini@example.net,+91-9725264086,True,20285.84
135,Sudiksha Mitter,66,60+,Male,Kolkata,West Bengal,Regular,2025-11-26,email_not_provided@unknown.com,+91-8228041330,True,48448.2
136,Anirudh Sagar,70,60+,Female,Patna,Bihar,Regular,2024-03-06,thakerrushil@example.org,+91-9343022133,True,19072.18
137,Amol Malhotra,68,60+,Female,Patna,Bihar,Regular,2024-05-23,yashasvi97@example.org,+91-8548378183,True,49323.35
138,Kabir Dash,54,46-60,Male,Patna,Bihar,Churned,2025-05-08,rdara@example.com,+91-7687493211,False,0.0
139,Dominic Bahl,43,36-45,Female,Delhi,Delhi,Regular,2026-01-19,saanvirai@example.com,+91-7502018553,True,674272.11
140,Hardik Bahri,36,36-45,Female,Hyderabad,Telangana,New,2025-09-25,saideep@example.com,+91-8475448888,True,1123.43
141,Chaitanya Madan,66,60+,Female,Patna,Bihar,Regular,2025-01-28,rajanekavir@example.com,+91-8954321762,True,43587.1
142,Hemangini Lall,37,36-45,Female,Delhi,Delhi,New,2025-05-14,advaithkumer@example.org,+91-7079577386,True,362854.79
143,Orinder Viswanathan,24,18-25,Female,Bangalore,Karnataka,New,2024-06-11,zachariadeepa@example.com,+91-8494796247,True,245711.36
144,Vedika Misra,29,26-35,Male,Hyderabad,Telangana,Regular,2024-04-28,grewallopa@example.com,+91-8140064378,True,504812.91
145,Osha Banik,58,46-60,Female,Bangalore,Karnataka,New,2024-02-22,nsibal@example.org,+91-9428740752,True,6383.46
146,Ekta Cheema,25,18-25,Female,Patna,Bihar,New,2026-01-10,thomas70@example.net,+91-7799136110,True,398383.58
147,Aayush Sachdev,46,46-60,Male,Chennai,Tamil Nadu,Regular,2024-04-11,kritikagopal@example.com,+91-8691593197,True,30969.44
148,Rachita Gala,33,26-35,Female,Hyderabad,Telangana,New,2024-09-10,zsachdeva@example.net,+91-9725208131,True,226508.89
149,Pahal Wadhwa,33,26-35,Female,Pune,Maharashtra,Churned,2025-03-28,alexander75@example.com,+91-9920071012,False,0.0
150,Aditya Garde,72,60+,Female,Chennai,Tamil Nadu,Regular,2024-05-08,choudharyishita@example.com,+91-8252783669,True,18246.22
151,Nidra Natt,27,26-35,Female,Pune,Maharashtra,Regular,2024-03-27,bumbleena@example.org,+91-8421500590,True,463669.89
152,Hitesh Divan,40,36-45,Male,Pune,Maharashtra,New,2025-11-22,niteshsinha@example.net,+91-9940510677,True,779906.41
153,Isha Raval,40,36-45,Female,Chennai,Tamil Nadu,New,2024-11-22,avi84@example.net,+91-8121344879,True,169142.17
154,Geetika Pant,33,26-35,Male,Delhi,Delhi,New,2025-08-20,duttaabeer@example.net,+91-7266761824,True,374421.83
155,Yashodhara Pall,46,46-60,Female,Bangalore,Karnataka,New,2025-02-17,lsheth@example.org,+91-8968773004,True,65044.22
156,Aryan Garg,34,26-35,Male,Patna,Bihar,VIP,2024-03-22,dalajanaik@example.com,+91-7089171872,True,533968.32
157,Christopher Basu,63,60+,Male,Bangalore,Karnataka,New,2025-10-21,yohannanzayan@example.com,+91-8712772810,True,46648.66
158,Manthan Venkatesh,63,60+,Female,Pune,Maharashtra,Regular,2025-09-29,zaitrabiswas@example.org,Phone Not Available,True,57546.85
159,Amol Anne,64,60+,Male,Chennai,Tamil Nadu,Regular,2025-05-18,wdutt@example.net,+91-8170134244,True,44754.41
160,Gunbir Edwin,20,18-25,Male,Hyderabad,Telangana,New,2024-07-10,shravya70@example.net,+91-8414774308,True,268972.66
161,Sarthak Varma,64,60+,Male,Chennai,Tamil Nadu,VIP,2025-04-09,lkhanna@example.com,+91-7419957555,True,78156.8
162,Devika Luthra,53,46-60,Female,Chennai,Tamil Nadu,Regular,2025-12-05,yhayre@example.net,+91-7172099174,True,6683.47
163,Barkha Dhingra,67,60+,Female,Bangalore,Karnataka,Regular,2025-08-30,rastogiveda@example.net,+91-9843938225,True,88071.68
164,Maya Ramesh,45,36-45,Female,Mumbai,Maharashtra,New,2024-07-12,kalitatriya@example.net,+91-8960141543,True,190583.17
165,Amrita Das,64,60+,Male,Patna,Bihar,Churned,2024-08-24,vedikadube@example.com,+91-8158261347,False,0.0
166,Siddharth Misra,43,36-45,Male,Bangalore,Karnataka,New,2024-10-02,isaiahhegde@example.com,+91-7248592120,True,291184.14
167,Bhavna Jaggi,44,36-45,Male,Bangalore,Karnataka,VIP,2025-06-29,oscarsarna@example.net,+91-8100170247,True,268547.47
168,Odika Loke,54,46-60,Female,Delhi,Delhi,New,2025-08-21,manyanadkarni@example.com,+91-9442011362,True,39394.63
169,Warjas Murthy,37,36-45,Male,Chennai,Tamil Nadu,Regular,2025-02-20,oninagy@example.net,+91-9964994439,True,168074.6
170,Priya Dutta,31,26-35,Female,Bangalore,Karnataka,Churned,2024-04-24,idika14@example.com,+91-9366525732,False,0.0
171,Dalaja Mallick,75,60+,Female,Patna,Bihar,New,2024-04-11,email_not_provided@unknown.com,+91-8557900256,True,10759.25
172,Hiral Balan,63,60+,Female,Hyderabad,Telangana,Churned,2024-12-15,jainfaraj@example.org,+91-7253832508,False,0.0
173,Mitesh Chana,75,60+,Male,Patna,Bihar,Churned,2024-06-09,sachishanker@example.net,+91-9094783311,False,0.0
174,Yashica Bobal,72,60+,Female,Chennai,Tamil Nadu,New,2025-02-27,qhalder@example.org,+91-7081446700,True,18638.04
175,Aarav Dhar,22,18-25,Male,Bangalore,Karnataka,Regular,2024-08-28,samavedant@example.com,+91-7236175514,True,190063.9
176,Sara Kunda,53,46-60,Male,Hyderabad,Telangana,Regular,2024-08-06,kkhatri@example.com,+91-8556184772,True,28968.27
177,Ronith Ghosh,59,46-60,Male,Patna,Bihar,VIP,2024-08-25,uminhas@example.org,+91-9979736448,True,22437.7
178,Jatin Dora,28,26-35,Female,Patna,Bihar,New,2025-04-29,sureshnaveen@example.com,+91-8344223768,True,136487.67
179,Pallavi Kota,64,60+,Female,Patna,Bihar,Regular,2024-04-09,email_not_provided@unknown.com,+91-7262051447,True,25375.4
180,Dakshesh Sharaf,42,36-45,Female,Pune,Maharashtra,VIP,2024-05-06,srinivasansaumya@example.com,+91-7383704710,True,328416.1
181,Guneet Sampath,18,18-25,Male,Kolkata,West Bengal,Regular,2024-03-17,deshpandeekanta@example.net,+91-7373109749,True,265462.83
182,Urmi Keer,74,60+,Male,Mumbai,Maharashtra,Regular,2025-10-02,daksha02@example.com,+91-9352769151,True,47213.81
183,Samesh Ahluwalia,66,60+,Male,Bangalore,Karnataka,Regular,2025-09-23,harishbawa@example.com,+91-9874560428,True,60001.18
184,Ishita Narain,34,26-35,Male,Patna,Bihar,Regular,2025-03-14,ojas65@example.com,+91-7818934393,True,372251.66
185,Neel Wadhwa,45,36-45,Male,Hyderabad,Telangana,New,2025-06-18,kritikabaral@example.net,+91-8312770832,True,49151.84
186,Nicholas Ghose,63,60+,Female,Mumbai,Maharashtra,New,2025-10-12,faris60@example.org,+91-8666470068,True,43145.59
187,Sarthak Gera,55,46-60,Male,Pune,Maharashtra,Churned,2024-02-17,chanakyavig@example.net,+91-9796840751,False,0.0
188,Gopal Sama,37,36-45,Female,Chennai,Tamil Nadu,New,2025-12-09,vihaan22@example.net,+91-8791818172,True,263748.01
189,Rushil Goyal,60,46-60,Female,Hyderabad,Telangana,Regular,2025-01-08,email_not_provided@unknown.com,+91-9254537425,True,37111.23
190,Jack Karnik,60,46-60,Female,Patna,Bihar,Churned,2024-06-23,chaman28@example.net,+91-7067756503,False,0.0
191,Yasti Malhotra,59,46-60,Female,Hyderabad,Telangana,Churned,2025-11-11,dbumb@example.com,+91-7396042028,False,0.0
192,Osha Bawa,63,60+,Female,Chennai,Tamil Nadu,Regular,2024-02-24,mugdha88@example.com,+91-8939355878,True,53965.69
193,Chaaya Kuruvilla,34,26-35,Female,Hyderabad,Telangana,Regular,2025-03-09,deepa52@example.org,+91-9738801672,True,737424.26
194,Chatresh Deo,75,60+,Female,Mumbai,Maharashtra,New,2025-05-01,saisagar@example.org,+91-7235521315,True,43865.17
195,Lajita Dani,62,60+,Male,Chennai,Tamil Nadu,New,2024-10-30,email_not_provided@unknown.com,+91-9796090458,True,41201.29
196,Harinakshi Pandya,64,60+,Male,Delhi,Delhi,Regular,2024-10-04,kritika84@example.org,+91-9018313898,True,19047.93
197,Forum Lad,46,46-60,Female,Delhi,Delhi,Regular,2025-05-04,email_not_provided@unknown.com,+91-7382572043,True,7799.29
198,Chandani Mohan,38,36-45,Male,Kolkata,West Bengal,VIP,2026-01-17,pushti77@example.com,+91-9958143404,True,307923.89
199,Raghav Suresh,71,60+,Male,Kolkata,West Bengal,New,2025-06-16,madhavimammen@example.com,+91-7445724569,True,56489.25
200,Amol Chaudhary,66,60+,Male,Hyderabad,Telangana,Regular,2025-04-23,vasudhabawa@example.net,+91-7578622264,True,9632.84
201,Christopher Kohli,67,60+,Female,Mumbai,Maharashtra,VIP,2024-09-16,ravelmaanav@example.net,+91-9024337986,True,25884.11
202,Chasmum Sinha,29,26-35,Male,Delhi,Delhi,New,2025-02-06,raghavangavin@example.net,+91-8572820168,True,64608.72
203,Triveni Borah,25,18-25,Female,Bangalore,Karnataka,Churned,2025-08-12,pahalkarnik@example.com,+91-8541342617,False,0.0
204,Waida Natt,35,26-35,Male,Hyderabad,Telangana,Churned,2024-08-26,yochana01@example.org,+91-9386927171,False,0.0
205,Qushi Nadig,63,60+,Female,Pune,Maharashtra,Regular,2024-04-22,girik89@example.net,+91-9258685406,True,33843.53
206,Hemang Jayaraman,50,46-60,Female,Mumbai,Maharashtra,New,2025-06-06,gautam58@example.com,+91-9688753775,True,8133.96
207,Jonathan Nadig,33,26-35,Male,Pune,Maharashtra,Churned,2024-04-19,qpandya@example.org,+91-8906033891,False,0.0
